price,bedroom,bathroom,area(sqft),country,city,address,purpose,furnishing,completion_status,handover,project_name,propert_type
"3,500,000",2 beds,2 baths,"1,227 sqft", UAE, Dubai, Business Bay,Sale,Unfurnished,Ready,Q4 2027,Trillionaire Residences by Binghatti,Apartment
"1,060,000",1 bed,2 baths,721 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Furnished,Ready,Q2 2026,Mulberry,Apartment
"1,300,000",1 bed,1 bath,474 sqft, UAE, Dubai, Dubai Hills Estate,Sale,Furnished,Ready,Q1 2027,Lagoon Views,Apartment
"22,000,000",5 beds,7 baths,"7,724 sqft", UAE, Dubai, Arabian Ranches,Sale,Unfurnished,Ready,Q4 2025,Polo Homes,Villa
"1,250,000",1 bed,1 bath,989 sqft, UAE, Dubai, Dubai Marina,Sale,Furnished,Ready,Q2 2028,Marina 101,Apartment
"901,968",1 bed,2 baths,752 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Unfurnished,Ready,Q2 2028,Samana Resorts,Apartment
"1,975,000",2 beds,3 baths,"1,560 sqft", UAE, Dubai, Arjan,Sale,Furnished,Ready,Q2 2028,Samana Hills,Apartment
"2,299,999",4 beds,4 baths,"2,415 sqft", UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Sale,Unfurnished,Off-Plan,Q2 2026,Verona,Townhouse
"6,500,000",2 beds,3 baths,"1,648 sqft", UAE, Dubai, Downtown Dubai,Sale,Furnished,Ready,Q2 2026,Opera Grand,Apartment
"1,980,000",1 bed,2 baths,849 sqft, UAE, Dubai, Business Bay,Sale,Unfurnished,Off-Plan,Q4 2026,Binghatti Skyrise Tower A,Apartment
"6,930,000",3 beds,4 baths,"1,910 sqft", UAE, Dubai, Dubai Harbour,Sale,Furnished,Ready,Q4 2027,Nobles Tower,Apartment
"769,006",1 bed,2 baths,"1,099 sqft", UAE, Dubai, International City,Sale,Unfurnished,Ready,Q3 2026,Fairway Residences by Prescott,Apartment
"1,870,000",3 beds,4 baths,"1,657 sqft", UAE, Dubai, International City,Sale,Unfurnished,Ready,Q4 2025,Warsan Village,Villa
"1,650,000",1 bed,1 bath,655 sqft, UAE, Dubai, Dubai Hills Estate,Sale,Unfurnished,Ready,Q4 2024,UNA Apartments,Apartment
"3,500,000",3 beds,3 baths,"2,556 sqft", UAE, Dubai, Reem,Sale,Unfurnished,Ready,Q3 2026,Farm Gardens,Townhouse
"747,000",Studio,1 bath,400 sqft, UAE, Dubai, Al Jaddaf,Sale,Unfurnished,Off-Plan,Q3 2025,Creek Views 3,Apartment
"2,748,000",2 beds,2 baths,"2,796 sqft", UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Furnished,Ready,Q2 2026,Century Tower,Apartment
"3,800,000",3 beds,3 baths,"2,339 sqft", UAE, Dubai, Mudon,Sale,Unfurnished,Ready,Q4 2024,Taormina Village 1,Townhouse
"2,290,000",1 bed,2 baths,750 sqft, UAE, Dubai, Business Bay,Sale,Furnished,Off-Plan,Q4 2029,Bayz 102 by Danube,Apartment
"716,475",Studio,1 bath,411 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Furnished,Off-Plan,Q3 2027,MAK I'Sola Bella,Apartment
"3,800,000",3 beds,2 baths,"1,570 sqft", UAE, Dubai, Bur Dubai,Sale,Unfurnished,Off-Plan,Q4 2026,Park Views Residences Tower A,Apartment
"2,850,000",2 beds,4 baths,"1,462 sqft", UAE, Dubai, DIFC,Sale,Unfurnished,Ready,Q1 2025,Green Community West,Apartment
"699,000",Studio,1 bath,455 sqft, UAE, Dubai, Dubai Studio City,Sale,Furnished,Off-Plan,Q4 2025,Laya Courtyard,Apartment
"16,500,000",5 beds,6 baths,"8,611 sqft", UAE, Dubai, The Oasis by Emaar,Sale,Unfurnished,Off-Plan,Q4 2027,Palmiera,Villa
"2,800,000",1 bed,2 baths,"1,145 sqft", UAE, Dubai, Palm Jumeirah,Sale,Unfurnished,Ready,Q2 2026,Creek Vistas Heights Tower A,Apartment
"1,300,000",Studio,1 bath,850 sqft, UAE, Dubai, Business Bay,Sale,Furnished,Ready,Q1 2026,Lamaa Building 4,Apartment
"750,000",Studio,1 bath,300 sqft, UAE, Dubai, Meydan City,Sale,Unfurnished,Ready,Q4 2026,Sobha One Tower D,Apartment
"740,000",Studio,1 bath,413 sqft, UAE, Dubai, Liwan,Sale,Furnished,Off-Plan,Q2 2028,Empire Lake Views,Apartment
"3,019,019",1 bed,2 baths,"1,187 sqft", UAE, Dubai, Business Bay,Sale,Unfurnished,Ready,Q2 2026,Sobha Reserve,Apartment
"2,950,000",2 beds,3 baths,"1,430 sqft", UAE, Dubai, Bukadra,Sale,Unfurnished,Off-Plan,Q4 2027,360 Riverside Crescent,Apartment
"5,000,000",2 beds,3 baths,"1,083 sqft", UAE, Dubai, Downtown Dubai,Sale,Unfurnished,Off-Plan,Q4 2022,Vida Dubai Mall Tower 2,Apartment
"2,150,000",2 beds,3 baths,"1,135 sqft", UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Unfurnished,Ready,Q2 2028,Marine 3,Apartment
"1,364,297",1 bed,2 baths,"1,018 sqft", UAE, Dubai, Arjan,Sale,Unfurnished,Off-Plan,Q3 2026,Gharbi I Residences,Apartment
"475,000",Studio,1 bath,484 sqft, UAE, Dubai, Discovery Gardens,Sale,Unfurnished,Ready,Q4 2025,Mediterranean,Apartment
"28,500,000",5 beds,6 baths,"9,918 sqft", UAE, Dubai, Dubai Hills Estate,Sale,Unfurnished,Off-Plan,Q2 2026,Address Villas Hillcrest,Villa
"1,514,700",2 beds,3 baths,"1,028 sqft", UAE, Dubai, Jumeirah Village Triangle (JVT),Sale,Furnished,Off-Plan,Q1 2027,Treppan Tower,Apartment
"1,650,000",1 bed,2 baths,910 sqft, UAE, Dubai, Business Bay,Sale,Furnished,Ready,Q4 2027,Nobles Tower,Apartment
"1,025,000",1 bed,2 baths,805 sqft, UAE, Dubai, Jebel Ali,Sale,Unfurnished,Off-Plan,Q2 2027,Eleve by Deyaar,Apartment
"2,235,000",3 beds,4 baths,"2,064 sqft", UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Furnished,Off-Plan,Q4 2026,SquareX Residence,Apartment
"1,300,000",1 bed,1 bath,875 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Unfurnished,Off-Plan,Q4 2024,H Three By Aurora,Apartment
"2,200,000",1 bed,1 bath,803 sqft, UAE, Dubai, Dubai Marina,Sale,Furnished,Ready,Q3 2025,JW Marriott Hotel Marina,Apartment
"1,150,000",1 bed,2 baths,933 sqft, UAE, Dubai, Green Community,Sale,Unfurnished,Ready,Q1 2025,Green Community West,Apartment
"1,991,891",1 bed,2 baths,935 sqft, UAE, Dubai, Bukadra,Sale,Unfurnished,Off-Plan,Q4 2027,340 Riverside Crescent,Apartment
"3,400,000",2 beds,4 baths,"1,365 sqft", UAE, Dubai, Sobha Hartland,Sale,Unfurnished,Off-Plan,Q2 2028,The Crest,Apartment
"2,686,604",1 bed,2 baths,"1,054 sqft", UAE, Dubai, Bukadra,Sale,Unfurnished,Off-Plan,Q4 2029,Skyscape Altius,Apartment
"3,300,000",2 beds,2 baths,"1,258 sqft", UAE, Dubai, Dubai Creek Harbour,Sale,Unfurnished,Off-Plan,Q4 2028,Arlo at Creek Beach Harbour,Apartment
"1,875,000",2 beds,3 baths,"1,329 sqft", UAE, Dubai, Dubai Marina,Sale,Unfurnished,Ready,Q3 2028,Elite Residence,Apartment
"1,080,000",Studio,1 bath,432 sqft, UAE, Dubai, Business Bay,Sale,Furnished,Ready,Q1 2027,MAG 318,Apartment
"3,000,000",2 beds,3 baths,"1,450 sqft", UAE, Dubai, Bukadra,Sale,Unfurnished,Off-Plan,Q4 2027,360 Riverside Crescent,Apartment
"1,188,495",1 bed,2 baths,792 sqft, UAE, Dubai, Wasl Gate,Sale,Unfurnished,Off-Plan,Q4 2026,Hillside Residences 1,Apartment
"1,310,000",4 beds,6 baths,"3,250 sqft", UAE, Dubai, Dubai Investment Park (DIP),Sale,Unfurnished,Off-Plan,Q4 2025,Verdana 2,Townhouse
"1,378,607",1 bed,2 baths,829 sqft, UAE, Dubai, Motor City,Sale,Furnished,Off-Plan,Q4 2027,Takaya Tower A,Apartment
"2,799,999",2 beds,2 baths,"1,081 sqft", UAE, Dubai, Dubai Hills Estate,Sale,Unfurnished,Ready,Q2 2026,Janusia,Apartment
"1,197,896",1 bed,2 baths,804 sqft, UAE, Dubai, Dubai Land Residence Complex,Sale,Unfurnished,Off-Plan,Q3 2028,Peace Lagoons by Peace Homes,Apartment
"1,585,000",Studio,1 bath,402 sqft, UAE, Dubai, Dubai Marina,Sale,Unfurnished,Off-Plan,Q1 2028,Rove Home Dubai Marina,Apartment
"1,300,000",Studio,1 bath,433 sqft, UAE, Dubai, Business Bay,Sale,Unfurnished,Off-Plan,Q1 2027,Altitude de Grisogono,Apartment
"1,699,999",1 bed,2 baths,"1,058 sqft", UAE, Dubai, Dubai Marina,Sale,Unfurnished,Ready,Q4 2025,Ocean Heights,Apartment
"10,499,000",4 beds,4 baths,"3,952 sqft", UAE, Dubai, Arabian Ranches,Sale,Unfurnished,Ready,Q1 2025,Al Mahra,Villa
"1,150,000",1 bed,2 baths,933 sqft, UAE, Dubai, Green Community,Sale,Unfurnished,Ready,Q1 2027,Green Community West,Apartment
"1,800,000",2 beds,2 baths,899 sqft, UAE, Dubai, Sobha Hartland,Sale,Unfurnished,Ready,Q3 2027,Naya at District One,Apartment
"485,000",Studio,1 bath,411 sqft, UAE, Dubai, Dubai Sports City,Sale,Furnished,Ready,Q4 2024,Genesis By Meraki,Apartment
"1,300,000",1 bed,2 baths,827 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Unfurnished,Ready,Q2 2026,Opera Grand,Apartment
"622,592",Studio,1 bath,433 sqft, UAE, Dubai, Dubai Production City (IMPZ),Sale,Unfurnished,Off-Plan,Q2 2027,ELM at Park Five,Apartment
"617,123",Studio,1 bath,469 sqft, UAE, Dubai, Dubai Land Residence Complex,Sale,Unfurnished,Off-Plan,Q1 2027,Coventry Gardens,Apartment
"10,900,000",4 beds,5 baths,"3,045 sqft", UAE, Dubai, Dubai Creek Harbour,Sale,Unfurnished,Ready,Q3 2025,Cavalli Tower,Apartment
"3,950,000",4 beds,5 baths,"3,442 sqft", UAE, Dubai, The Valley by Emaar,Sale,Unfurnished,Off-Plan,Q1 2027,Rivana,Villa
"2,450,000",2 beds,4 baths,"1,362 sqft", UAE, Dubai, DIFC,Sale,Unfurnished,Ready,Q3 2026,Evora Residence,Apartment
"765,000",Studio,1 bath,470 sqft, UAE, Dubai, Al Jaddaf,Sale,Unfurnished,Off-Plan,Q1 2026,Binghatti Starlight,Apartment
"1,150,000",1 bed,2 baths,933 sqft, UAE, Dubai, Green Community,Sale,Unfurnished,Ready,Q4 2026,Green Community West,Apartment
"1,800,000",1 bed,2 baths,"1,101 sqft", UAE, Dubai, DIFC,Sale,Unfurnished,Ready,Q4 2026,Armani Beach Residences,Apartment
"5,200,000",3 beds,3 baths,"1,645 sqft", UAE, Dubai, Downtown Dubai,Sale,Unfurnished,Ready,Q2 2027,Merano Tower,Apartment
"11,500,000",2 beds,3 baths,"2,100 sqft", UAE, Dubai, Palm Jumeirah,Sale,Unfurnished,Ready,Q1 2027,Ellington Beach House,Apartment
"1,849,999",1 bed,2 baths,855 sqft, UAE, Dubai, Sobha Hartland,Sale,Unfurnished,Ready,Q4 2024,Creek Vistas Grande,Apartment
"1,500,000",3 beds,4 baths,"1,208 sqft", UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Sale,Furnished,Ready,Q4 2026,Aquilegia,Townhouse
"4,200,000",2 beds,2 baths,"1,875 sqft", UAE, Dubai, Business Bay,Sale,Unfurnished,Off-Plan,Q4 2024,Peninsula One,Apartment
"689,888",Studio,1 bath,474 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Sale,Unfurnished,Off-Plan,Q2 2026,Waref Residences by Sido,Apartment
"860,000",1 bed,2 baths,693 sqft, UAE, Dubai, Majan,Sale,Furnished,Off-Plan,Q2 2027,Forest City Tower,Apartment
"4,287,088",2 beds,3 baths,"1,663 sqft", UAE, Dubai, Business Bay,Sale,Unfurnished,Ready,Q4 2027,Takaya Tower A,Apartment
"982,000",1 bed,1 bath,545 sqft, UAE, Dubai, Motor City,Sale,Unfurnished,Off-Plan,Q3 2025,Santorini,Apartment
"650,000",Studio,1 bath,388 sqft, UAE, Dubai, Dubai Studio City,Sale,Furnished,Off-Plan,Q1 2025,Samana Santorini,Apartment
