price,bedroom,bathroom,area(sqft),address,furnishing,completion_status,handover,project_name,propert_type
"3,500,000",2.0,2,7.113142108707088,BusinessBay,0,1,2027.75,17,Apartment
"1,060,000",1.0,2,6.582025138892826,JumeirahVillageCircle(JVC),1,1,2026.25,11,Apartment
"1,300,000",1.0,1,6.163314804034641,DubaiHillsEstate,1,1,2027.0,2,Apartment
"22,000,000",5.0,7,8.952217101765946,ArabianRanches,0,1,2025.75,6,Villa
"1,250,000",1.0,1,6.897704943128636,DubaiMarina,1,1,2028.25,1,Apartment
"901,968",1.0,2,6.6240652277998935,JumeirahVillageCircle(JVC),0,1,2028.25,43,Apartment
"1,975,000",2.0,3,7.353081920515432,Arjan,1,1,2028.25,7,Apartment
"2,299,999",4.0,4,7.789868559054706,DAMACHills2(AkoyabyDAMAC),0,0,2026.25,5,Townhouse
"6,500,000",2.0,3,7.407924322559599,DowntownDubai,1,1,2026.25,11,Apartment
"1,980,000",1.0,2,6.745236349484363,BusinessBay,0,0,2026.75,11,Apartment
"6,930,000",3.0,4,7.555381944240273,DubaiHarbour,1,1,2027.75,6,Apartment
"769,006",1.0,2,7.003065458786462,InternationalCity,0,1,2026.5,8,Apartment
"1,870,000",3.0,4,7.4133673356952405,InternationalCity,0,1,2025.75,4,Villa
"1,650,000",1.0,1,6.486160788944089,DubaiHillsEstate,0,1,2024.75,10,Apartment
"3,500,000",3.0,3,7.846589975291186,Reem,0,1,2026.5,7,Townhouse
"747,000",0.5,1,5.993961427306569,AlJaddaf,0,0,2025.5,5,Apartment
"2,748,000",2.0,2,7.936302693201959,JumeirahVillageCircle(JVC),1,1,2026.25,10,Apartment
"3,800,000",3.0,3,7.757906208351747,Mudon,0,1,2024.75,5,Townhouse
"2,290,000",1.0,2,6.621405651764134,BusinessBay,1,0,2029.75,27,Apartment
"716,475",0.5,1,6.021023349349527,JumeirahVillageCircle(JVC),1,0,2027.5,3,Apartment
"3,800,000",3.0,2,7.359467638255621,BurDubai,0,0,2026.75,12,Apartment
"2,850,000",2.0,4,7.288244401020124,DIFC,0,1,2025.0,39,Apartment
"699,000",0.5,1,6.1224928095143865,DubaiStudioCity,1,0,2025.75,2,Apartment
"16,500,000",5.0,6,9.060911858484253,TheOasisbyEmaar,0,0,2027.75,6,Villa
"2,800,000",1.0,2,7.044032897274685,PalmJumeirah,0,1,2026.25,16,Apartment
